IMDBID	TITLE
tt0299163	Strange Relations
tt0050997	The Crucible
tt1725828	The Eagleman Stag
tt1042913	Summerhill
tt0427157	Dirty War
tt2149702	Swimmer
tt0063506	The Rise and Fall of the Great Lakes
tt0391256	Jojo in the Stars
tt0175447	Antony and Cleopatra
tt5751588	Alan Partridge's Scissored Isle
tt0283201	The Mayfair Set
tt0113710	Loved Up
tt14203994	The Owl and the Pussycat
tt0119873	Warriors
tt5959320	Ellen
tt7550334	Basquiat: Rage to Riches
tt0275577	Othello
tt15010478	9/11: Inside the President's War Room
tt5698100	Hillsborough
tt3438608	David Attenborough's Natural History Museum Alive
tt2300710	Amish: A Secret Life
tt1306997	Parallel Worlds, Parallel Lives
tt0247179	Song of the Prairie
tt1850984	Between Life and Death
tt1461402	Rain in my Heart
tt0913394	Housewife, 49
tt0056397	Reach for Glory
tt9663110	The Last Survivors
tt8201352	Elizabeth Is Missing
tt10619332	Sitting in Limbo
tt13649036	Help
tt13913326	Chernobyl: The Lost Tapes
tt0180981	Schindler: The Real Story
tt0142032	Dune
tt0104020	Crash Landing: The Rescue of Flight 232
tt0075166	The Savage Bees
tt1190708	Cirque du Soleil: Corteo
tt0092642	The Betty Ford Story
tt0110721	Oldest Living Confederate Widow Tells All
tt0156727	The Last Halloween
tt0099391	Decoration Day
tt0325448	Garfield's Babes and Bullets
tt0079177	Friendly Fire
tt11318602	Don't F**k with Cats: Hunting an Internet Killer
tt0373210	The Orchestra
tt0067926	Vanished
tt6319942	Once Upon a Sesame Street Christmas
tt0088888	Cat on a Hot Tin Roof
tt0078136	Rainbow
tt0095373	Inherit the Wind
tt0194947	Horatio Hornblower: The Fire Ship
tt0194946	Horatio Hornblower: The Duchess and the Devil
tt1353841	Foster's Home for Imaginary Friends: Destination Imagination
tt0102167	The Josephine Baker Story
tt0445971	G.I.T. on Broadway
tt0303461	Firefly
tt0098310	The Shell Seekers
tt0300536	Sweeney Todd: The Demon Barber of Fleet Street in Concert
tt1305826	Adventure Time
tt10313336	Live in Front of a Studio Audience: Norman Lear's 'All in the Family' and 'The Jeffersons'
tt0433378	Genius: A Night for Ray Charles
tt0100154	Miracle Landing
tt0319754	The Lion in Winter
tt0082075	Bill
tt2402203	The First Nine Months Are the Hardest
tt10763486	Live in Front of a Studio Audience: 'All in the Family' and 'Good Times'
tt0097939	My Name Is Bill W.
tt0465589	Rome: Engineering an Empire
tt0296503	America: A Tribute to Heroes
tt0286309	The Willows in Winter
tt0100209	Murder in Mississippi
tt1782440	Firebreather
tt0255132	The Earth Day Special
tt0070372	The Marcus-Nelson Murders
tt9581760	Aretha! A Grammy Celebration for the Queen of Soul
tt3677742	Saturday Night Live: 40th Anniversary Special
tt0284954	Cher... Special
tt0080048	The Triangle Factory Fire Scandal
tt0154003	The Adventures of Young Indiana Jones: Travels with Father
tt0194948	Horatio Hornblower: The Wrong War
tt0092132	Under Siege
tt0073533	Peter Pan
tt0330267	Expedition: Bismarck
tt0084243	The Letter
tt1000070	Billy & Mandy's Big Boogey Adventure
tt0112605	Bye Bye Birdie
tt0072677	Babe
tt0383139	The Reagans
tt0112456	Barbra: The Concert
tt0108347	To Dance with the White Dog
tt0283245	Allosaurus: A Walking with Dinosaurs Special
tt0257484	Christmas Snow
tt0069484	A War of Children
tt0067767	The Snow Goose
tt0304971	Ziggy's Gift
tt0111806	The Adventures of Young Indiana Jones: Hollywood Follies
tt15711284	Adele: One Night Only
tt0331217	Christmas Eve on Sesame Street
tt11703050	The House
tt0113483	Joseph
tt0088261	The Three Wishes of Billy Grier
tt0099237	Challenger
tt0301109	Clarence Darrow
tt0303853	Claymation Easter
tt0162344	George Stevens: D-Day to Berlin
tt2069885	Prep & Landing: Naughty vs. Nice
tt1754374	Prep & Landing Stocking Stuffer: Operation: Secret Santa
tt0068720	The House Without a Christmas Tree
tt0173983	Life Is a Circus, Charlie Brown
tt0366142	Addie and the King of Hearts
tt21220842	Beauty and the Beast: A 30th Celebration
tt10810424	Dave Chappelle: Sticks & Stones
tt0492472	A Lion in the House
tt0149380	Winchell
tt0114738	Truman
tt0413615	Unforgivable Blackness: The Rise and Fall of Jack Johnson
tt14544192	Bo Burnham: Inside
tt6881910	Rent: Live
tt0071847	The Missiles of October
tt14635982	Annie Live!
tt18949702	Jerrod Carmichael: Rothaniel
tt10687116	Entergalactic
tt27141610	John Mulaney: Baby J
tt2305700	London 2012 Olympic Opening Ceremony: Isles of Wonder
tt0500149	Saturday Night Live 25
tt0109557	David's Mother
tt0070135	The Great American Cowboy
tt0033824	Lend a Paw
tt0056965	The Critic
tt7129636	Hair Love
tt8163822	The Neighbors' Window
tt0033969	Of Pups and Puzzles
tt10397932	Learning to Skateboard in a Warzone (If You're a Girl)
tt0041283	Daybreak in Udi
tt0040930	Van Gogh
tt0042592	Beaver Valley
tt0049102	Crashing the Water Barrier
tt0071337	Closed Mondays
tt0108086	Session Man
tt0038192	The True Glory
tt0046442	Toot, Whistle, Plunk and Boom
tt0038115	Star in the Night
tt0030855	That Mothers Might Live
tt0032960	Quicker'n a Wink
tt0047672	When Magoo Flew
tt11924384	The Long Goodbye
tt0115753	Breathing Lessons: The Life and Work of Mark O'Brien
tt0106961	Franz Kafka's It's a Wonderful Life
tt0299178	Thoth
tt11643154	Colette
tt0031953	Sons of Liberty
tt0053080	Moonbird
tt0075847	The Sand Castle
tt0060503	A Herb Alpert & the Tijuana Brass Double Feature
tt0065901	Is It Always Right to Be Right?
tt0104908	Mona Lisa Descending a Staircase
tt0041891	So Much for So Little
tt0051825	Knighty Knight Bugs
tt0094119	The Algonquin Round Table: The Ten Year Lunch
tt0091787	Precious Images
tt0111486	Trevor
tt0050194	Birds Anonymous
tt0057459	Robert Frost: A Lover's Quarrel with the World
tt0100076	The Lunch Date
tt0041380	For Scent-imental Reasons
tt0048649	Speedy Gonzales
tt0088725	Anna & Bella
tt14513236	The Queen of Basketball
tt0045314	Water Birds
tt0043839	Nature's Half Acre
tt9464038	The Windshield Wiper
tt0820971	The Mozart of Pickpockets
tt0084118	If You Love This Planet
tt0032124	When Tomorrow Comes
tt14625872	An Irish Goodbye
tt0045937	Johann Mouse
tt0058472	The Pink Phink
tt0090965	Down and Out in America
tt11768948	If Anything Happens I Love You
tt13472984	Two Distant Strangers
tt23628262	The Elephant Whisperers
tt9067182	Rocks
tt8508734	His House
tt10692788	After Love
tt14640242	Together
tt10696784	The Harder They Fall
tt10627548	Christmas on the Square
tt3513500	Chip 'n Dale: Rescue Rangers
tt7935908	The Apollo
tt11095742	Boys State
tt8503618	Hamilton
tt12607910	Black Is King
tt11464826	The Social Dilemma
tt11394180	Dick Johnson Is Dead
tt11989890	David Attenborough: A Life on Our Planet
tt11874226	David Byrne's American Utopia
tt9850386	The Bee Gees: How Can You Mend a Broken Heart
tt12801326	76 Days
tt16378164	The Territory
tt12971802	Lucy and Desi
tt9883832	Moonage Daydream
tt11866324	Prey
tt17076046	Weird: The Al Yankovic Story
tt19853258	Still: A Michael J. Fox Movie
tt27549751	Taylor Mac's 24-Decade History of Popular Music
tt2953050	Encanto
tt8579674	1917
tt3281548	Little Women
tt6394270	Bombshell
tt5363618	Sound of Metal
tt9620292	Promising Young Woman
tt10633456	Minari
tt6723592	Tenet
tt10272386	The Father
tt12888462	My Octopus Teacher
tt2382320	No Time to Die
tt9770150	Nomadland
tt2948372	Soul
tt10618286	Mank
tt10288566	Another Round
tt10514222	Ma Rainey's Black Bottom
tt9784798	Judas and the Black Messiah
tt10366460	CODA
tt11422728	Summer of Soul (...Or, When the Revolution Could Not Be Televised)
tt3228774	Cruella
tt1160419	Dune: Part One
tt14039582	Drive My Car
tt12789558	Belfast
tt9115530	The Eyes of Tammy Faye
tt10293406	The Power of the Dog
tt9620288	King Richard
tt3581652	West Side Story
tt13833688	The Whale
tt17041964	Navalny
tt6710474	Everything Everywhere All at Once
tt8178634	RRR
tt1745960	Top Gun: Maverick
tt1016150	All Quiet on the Western Front
tt9114286	Black Panther: Wakanda Forever
tt13669038	Women Talking
tt1630029	Avatar: The Way of Water
tt1488589	Guillermo del Toro's Pinocchio
tt22667880	The Boy, the Mole, the Fox and the Horse
tt14230458	Poor Things
tt15398776	Oppenheimer
tt6587046	The Boy and the Heron
tt1517268	Barbie
tt17009710	Anatomy of a Fall
tt0058905	The Amorous Adventures of Moll Flanders
tt4073696	The Go-Between
tt0101066	Clarissa
tt0055361	Call Me Genius
tt0124158	Elton John: Tantrums & Tiaras
tt1701187	Two & Two
tt4959956	Muslim Drag Queens
tt0195141	Pib and Pog
tt0490879	Derren Brown: The Heist
tt8064558	Responsible Child
